"year_end","team_id","fran_id","tot_sal","avg_sal","max_sal","min_sal","std_sal"
1991,"ATL","Hawks",11761000,904692.307692308,2406000,125000,687554.529306026
1991,"BKN","Nets",11410000,815000,2100000,120000,631600.531007718
1991,"BOS","Celtics",11256000,750400,2500000,30000,660152.01712506
1991,"CHA","Hornets",10417000,801307.692307692,1650000,75000,504313.623422202
1991,"CHI","Bulls",10040000,836666.666666667,2500000,150000,599898.981395024
1991,"CLE","Cavaliers",14403000,960200,3785000,75000,1036913.97907445
1991,"DAL","Mavericks",11693000,835214.285714286,1650000,30000,564524.058024024
1991,"DEN","Nuggets",10335000,861250,2185000,210000,597997.13057992
1991,"DET","Pistons",12910000,922142.857142857,2720000,125000,665853.166666976
1991,"GSW","Warriors",11150000,857692.307692308,2850000,50000,778654.329020628
1991,"HOU","Rockets",10500000,807692.307692308,3175000,120000,865935.465707018
1991,"IND","Pacers",10981000,915083.333333333,2150000,175000,643295.840091313
1991,"LAC","Clippers",10245000,788076.923076923,2200000,210000,546483.22047105
1991,"LAL","Lakers",12120000,1010000,2400000,120000,748802.073617952
1991,"MIA","Heat",8510000,654615.384615385,2e+06,130000,632206.656410905
1991,"MIL","Bucks",11595000,828214.285714286,1600000,120000,450348.613438938
1991,"MIN","Timberwolves",7540000,628333.333333333,1200000,150000,361847.113202984
1991,"NYK","Knicks",13290000,1022307.69230769,4250000,120000,1061330.95565705
1991,"OKC","Thunder",10590000,814615.384615385,1750000,3e+05,485376.23524807
1991,"ORL","Magic",7532000,627666.666666667,1560000,2e+05,392035.094285595
1991,"PHI","Sixers",11640000,895384.615384615,2900000,110000,770323.15063891
1991,"PHO","Suns",11463000,818785.714285714,2060000,130000,578995.041638319
1991,"POR","Trailblazers",11215000,934583.333333333,2e+06,250000,577677.396340227
1991,"SAC","Kings",9605000,738846.153846154,2330000,30000,746335.921480608
1991,"SAS","Spurs",11057000,850538.461538462,2265000,50000,702644.720014391
1991,"UTA","Jazz",10695000,822692.307692308,2260000,50000,792516.076032045
1991,"WAS","Wizards",9610000,739230.769230769,2300000,120000,602884.891424302
1992,"ATL","Hawks",12930000,994615.384615385,3100000,125000,831870.436472485
1992,"BKN","Nets",12598000,969076.923076923,2300000,135000,709897.816771125
1992,"BOS","Celtics",25343000,1490764.70588235,7070000,130000,1804476.53522468
1992,"CHA","Hornets",12625000,1052083.33333333,1955000,130000,610707.854324253
1992,"CHI","Bulls",16829000,1121933.33333333,3250000,118000,981373.270085392
1992,"CLE","Cavaliers",16882000,1125466.66666667,3786000,130000,1059775.03452833
1992,"DAL","Mavericks",13004000,866933.333333333,1920000,130000,606345.783793216
1992,"DEN","Nuggets",11879000,791933.333333333,2008000,215000,577486.606729871
1992,"GSW","Warriors",12500000,961538.461538462,2844000,130000,712987.916609229
1992,"HOU","Rockets",13274000,1021076.92307692,3170000,275000,823636.900332752
1992,"IND","Pacers",15090000,1077857.14285714,3211000,130000,860992.348500162
1992,"LAC","Clippers",12976000,865066.666666667,2300000,130000,622792.841809798
1992,"LAL","Lakers",15673000,1119500,2507000,130000,798980.480169765
1992,"MIA","Heat",11514000,885692.307692308,2250000,202000,716705.70257433
1992,"MIL","Bucks",12451000,957769.230769231,1600000,130000,445558.105796568
1992,"MIN","Timberwolves",10763000,717533.333333333,1590000,1e+05,468304.520381262
1992,"NYK","Knicks",12399000,885642.857142857,3139000,120000,783848.259171757
1992,"OKC","Thunder",13308000,950571.428571429,2875000,130000,790879.132483468
1992,"ORL","Magic",12250000,1020833.33333333,1980000,525000,535594.458748804
1992,"PHI","Sixers",14058000,826941.176470588,3200000,130000,790686.843082348
1992,"PHO","Suns",13593000,906200,2275000,250000,574161.276496919
1992,"POR","Trailblazers",12742000,849466.666666667,2013000,130000,627971.54924938
1992,"SAC","Kings",12492000,892285.714285714,2685000,175000,752535.246153492
1992,"SAS","Spurs",11587000,724187.5,2240000,1e+05,730507.423530612
1992,"UTA","Jazz",12761000,850733.333333333,2556000,130000,761012.057973428
1992,"WAS","Wizards",12633000,789562.5,2525000,130000,718091.634705024
1993,"ATL","Hawks",18036000,1288285.71428571,3500000,250000,960709.547763961
1993,"BKN","Nets",16314000,1087600,2870000,125000,936125.357905813
1993,"BOS","Celtics",25217000,1200809.52380952,3513000,29000,1120605.31049284
1993,"CHA","Hornets",14150000,1010714.28571429,2540000,7000,823857.944118956
1993,"CHI","Bulls",18536000,1235733.33333333,4e+06,8000,1182347.99486123
1993,"CLE","Cavaliers",19676000,1405428.57142857,3786000,140000,1238137.23076152
1993,"DAL","Mavericks",10859000,638764.705882353,2069000,80000,710731.09624982
1993,"DEN","Nuggets",13776180,918412,2400000,140000,743848.218304168
1993,"DET","Pistons",13954000,1162833.33333333,2350000,140000,673637.187665631
1993,"GSW","Warriors",15473000,1031533.33333333,2844000,140000,701926.926056986
1993,"IND","Pacers",16268000,1084533.33333333,3211000,3e+05,802604.587458559
1993,"LAC","Clippers",14288000,1020571.42857143,2600000,7000,841801.06495955
1993,"LAL","Lakers",18851000,1047277.77777778,3633000,140000,1076429.43571112
1993,"MIA","Heat",15125000,1163461.53846154,2382000,140000,722645.903997319
1993,"MIL","Bucks",14032000,1002285.71428571,2230000,140000,619311.705856582
1993,"NYK","Knicks",14001000,1000071.42857143,3300000,140000,775777.571639797
1993,"OKC","Thunder",14033000,1002357.14285714,3175000,13000,918009.938537022
1993,"ORL","Magic",14970000,880588.235294118,3e+06,5000,798004.938802349
1993,"PHI","Sixers",17367000,1157800,2400000,270000,720608.096382096
1993,"PHO","Suns",14280000,892500,2420000,140000,682256.843131676
1993,"POR","Trailblazers",16369000,1364083.33333333,2655000,275000,764094.051604231
1993,"SAC","Kings",13953000,996642.857142857,2685000,133000,772060.44075307
1993,"SAS","Spurs",18083000,1130187.5,5720000,13000,1439341.15570284
1993,"UTA","Jazz",14517000,1036928.57142857,2854000,140000,896251.292395653
1993,"WAS","Wizards",17249000,958277.777777778,2500000,140000,727374.554016062
1994,"ATL","Hawks",22510000,1406875,3500000,150000,999741.691638395
1994,"BKN","Nets",20107000,1436214.28571429,3575000,150000,1102007.13236359
1994,"BOS","Celtics",17881000,1192066.66666667,4e+06,150000,1018343.08467001
1994,"CHA","Hornets",17952000,1282285.71428571,3125000,150000,995597.264001821
1994,"CHI","Bulls",18531000,1235400,4e+06,150000,1167574.82476652
1994,"CLE","Cavaliers",23711000,1693642.85714286,3786000,150000,1375373.04629817
1994,"DAL","Mavericks",14321000,954733.333333333,2203000,43000,777648.145432906
1994,"DEN","Nuggets",16110000,1150714.28571429,3e+06,150000,829077.655133558
1994,"DET","Pistons",15826000,1055066.66666667,2520000,20000,677302.893485485
1994,"GSW","Warriors",19239000,1202437.5,3340000,150000,991982.121394668
1994,"HOU","Rockets",16757000,1196928.57142857,3170000,150000,886527.058399644
1994,"IND","Pacers",17196000,1228285.71428571,3011000,320000,822759.748891257
1994,"LAC","Clippers",20188000,1345866.66666667,4e+06,150000,1177491.87844737
1994,"LAL","Lakers",23478000,1467375,4133000,150000,1126465.97078355
1994,"MIA","Heat",17811000,1370076.92307692,3057000,250000,856287.866465717
1994,"MIL","Bucks",14889000,1145307.69230769,1850000,420000,507208.600185924
1994,"MIN","Timberwolves",15496000,1192000,2730000,150000,882515.533385485
1994,"NYK","Knicks",22109000,1473933.33333333,3825000,250000,888024.972836323
1994,"OKC","Thunder",15967000,1451545.45454545,3587000,170000,996488.270240685
1994,"ORL","Magic",19939000,1329266.66666667,3900000,25000,1058021.16280932
1994,"PHI","Sixers",15354000,959625,2700000,1e+05,800771.034690941
1994,"PHO","Suns",21485000,1263823.52941176,3250000,150000,941100.236112905
1994,"POR","Trailblazers",23534000,1470875,5050000,150000,1324264.87154194
1994,"SAC","Kings",17397000,1023352.94117647,2500000,150000,807187.473668329
1994,"SAS","Spurs",19316365,1609697.08333333,5740000,150000,1553138.99401774
1994,"UTA","Jazz",16990000,1213571.42857143,3081000,150000,940824.410519078
1994,"WAS","Wizards",16240000,1082666.66666667,2313000,150000,770259.665555034
1995,"ATL","Hawks",21869340,1366833.75,2747500,6140,978679.624030084
1995,"BOS","Celtics",21162000,1322625,2820000,150000,995626.494558409
1995,"CHA","Hornets",19346658,1209166.125,3840000,13158,1224545.79055266
1995,"CLE","Cavaliers",28106000,1756625,4042000,150000,1395633.42250034
1995,"DAL","Mavericks",18053100,1504425,3e+06,2e+05,1062273.61491969
1995,"DEN","Nuggets",19925500,1328366.66666667,3100000,150000,872884.943053507
1995,"DET","Pistons",14798700,986580,2750000,117000,788035.778919424
1995,"GSW","Warriors",19797300,1319820,3703000,15800,1225691.85722071
1995,"HOU","Rockets",17578600,976588.888888889,3169900,30000,1014357.77473404
1995,"LAC","Clippers",17876700,1191780,3496000,150000,1002943.11418231
1995,"LAL","Lakers",20158300,1550638.46153846,3333300,1e+05,1047420.58532573
1995,"MIA","Heat",20142000,1438714.28571429,2975000,150000,971536.96066288
1995,"MIL","Bucks",16256960,956291.764705882,2900000,9660,847141.773053921
1995,"NYK","Knicks",25748900,1430494.44444444,4486700,150000,1035102.58171507
1995,"OKC","Thunder",24073500,1719535.71428571,5e+06,150000,1433925.97148643
1995,"PHI","Sixers",19709510,1231844.375,4e+06,5260,1220774.01601317
1995,"PHO","Suns",23170884,1655063.14285714,6472600,102424,1843595.88095484
1995,"POR","Trailblazers",26658000,1904142.85714286,3608000,150000,1198000.95397052
1995,"SAC","Kings",20209000,1347266.66666667,3e+06,150000,936208.098560103
1995,"SAS","Spurs",22721982,1420123.875,7300000,109750,1803100.1695562
1995,"UTA","Jazz",18315950,1308282.14285714,3378800,57900,1012242.62134346
1995,"WAS","Wizards",17049750,1065609.375,2612500,150000,895488.158160816
1996,"ATL","Hawks",21702000,1669384.61538462,3088000,225000,976447.262482852
1996,"BKN","Nets",22555000,1503666.66666667,4320000,225000,1225537.70511832
1996,"BOS","Celtics",18229000,1402230.76923077,3300000,3e+05,1124468.77486261
1996,"CHA","Hornets",21829000,1679153.84615385,4295000,225000,1293404.47696211
1996,"CHI","Bulls",23177000,1655500,3850000,225000,1321566.82941703
1996,"CLE","Cavaliers",25730000,1715333.33333333,4700000,2e+05,1570665.44890405
1996,"DAL","Mavericks",21753000,1553785.71428571,3588000,556000,1037652.09662313
1996,"DEN","Nuggets",19778000,1648166.66666667,3250000,2e+05,963634.581187603
1996,"GSW","Warriors",22177000,1705923.07692308,3728000,230000,1300961.72513122
1996,"HOU","Rockets",24814000,2067833.33333333,9810000,225000,2826949.4266092
1996,"IND","Pacers",23499000,1566600,4050000,2e+05,1334370.68099
1996,"LAC","Clippers",21150000,1626923.07692308,3e+06,2e+05,984798.834072088
1996,"LAL","Lakers",19783000,1521769.23076923,3333000,2e+05,919917.492119642
1996,"MEM","Grizzlies",17498000,1166533.33333333,2478000,225000,727178.880200411
1996,"MIA","Heat",20482000,1463000,4560000,2e+05,1399026.30975426
1996,"MIL","Bucks",23011000,2091909.09090909,3975000,363000,1407967.00632831
1996,"MIN","Timberwolves",22192000,1585142.85714286,4500000,2e+05,1423405.82121478
1996,"NYK","Knicks",38577000,2967461.53846154,18724000,225000,4851696.68973966
1996,"OKC","Thunder",25852000,1988615.38461538,5e+06,2e+05,1554984.11237658
1996,"ORL","Magic",30397000,2171214.28571429,5700000,225000,1879432.69585313
1996,"PHI","Sixers",17408000,1740800,5476000,225000,1558222.76256567
1996,"PHO","Suns",34925000,2328333.33333333,6833000,2e+05,2309450.48091738
1996,"POR","Trailblazers",23201000,1784692.30769231,3800000,225000,1309889.6508622
1996,"SAC","Kings",24156000,1725428.57142857,3500000,2e+05,1003951.32538199
1996,"SAS","Spurs",25448000,1957538.46153846,7700000,225000,2182731.91266452
1996,"TOR","Raptors",17205000,1075312.5,2402000,2e+05,780685.059739201
1996,"UTA","Jazz",21111000,1623923.07692308,3676000,3e+05,1105684.81506097
1996,"WAS","Wizards",21774000,1814500,7e+06,250000,1962033.01334472
1997,"ATL","Hawks",25806100,1843292.85714286,8013000,181100,2397753.25780817
1997,"BKN","Nets",25426600,1695106.66666667,5130000,166000,1428019.17977649
1997,"BOS","Celtics",25853500,1723566.66666667,5313000,220000,1466496.88113577
1997,"CHI","Bulls",58270000,4482307.69230769,30140000,5e+05,8049758.954824
1997,"CLE","Cavaliers",18867500,1347678.57142857,4643000,220000,1295971.05866223
1997,"DAL","Mavericks",26107500,1631718.75,4851000,220000,1503066.65375325
1997,"DEN","Nuggets",21243300,1517378.57142857,3400000,169000,1220974.60389299
1997,"DET","Pistons",26848500,2065269.23076923,7e+06,247500,2041871.37016701
1997,"GSW","Warriors",30867000,2057800,7e+06,220000,1792651.46600543
1997,"HOU","Rockets",26275000,1876785.71428571,9655000,220000,2820717.89630751
1997,"IND","Pacers",39480000,2632000,11250000,247500,3038126.03777865
1997,"LAC","Clippers",23336500,1666892.85714286,3250000,247500,1027041.46007563
1997,"LAL","Lakers",28838500,2218346.15384615,10714000,220000,3122875.05343377
1997,"MEM","Grizzlies",15978000,1141285.71428571,2186000,220000,758561.20675632
1997,"MIA","Heat",22421000,1494733.33333333,9380000,220000,2338688.85631814
1997,"MIL","Bucks",24222500,2018541.66666667,4640000,247500,1404545.98711621
1997,"NYK","Knicks",25923500,1728233.33333333,5004000,247500,1604514.72266168
1997,"OKC","Thunder",30301500,2020100,10212000,247500,2575475.09625478
1997,"ORL","Magic",40149100,2676606.66666667,14857000,190100,3904811.15136309
1997,"PHI","Sixers",20369500,1697458.33333333,6739000,247000,1796738.4650367
1997,"PHO","Suns",36140000,2125882.35294118,7e+06,220000,2219904.82995198
1997,"POR","Trailblazers",24903500,1778821.42857143,4175000,220000,1447003.23755875
1997,"SAC","Kings",27820200,1987157.14285714,3773000,150200,1316754.99719476
1997,"SAS","Spurs",30785500,2052366.66666667,9952000,152900,2590752.81190255
1997,"TOR","Raptors",18633900,1242260,3100000,205200,865698.880178817
1997,"UTA","Jazz",25267000,1804785.71428571,6e+06,220000,1716705.84275509
1997,"WAS","Wizards",34940000,2495714.28571429,9750000,247500,3015150.89375108
1998,"ATL","Hawks",30133827,2152416.21428571,9615187,242000,2835300.39308398
1998,"BKN","Nets",28504567,1900304.46666667,4400000,272250,1233734.66939839
1998,"BOS","Celtics",26800500,1576500,3500000,50000,1039238.7311874
1998,"CHA","Hornets",27006013,2077385.61538462,4833333,242000,1665862.88429348
1998,"CHI","Bulls",61330670,4088711.33333333,33140000,272250,8182474.38199898
1998,"CLE","Cavaliers",26677290,1569252.35294118,8600000,20000,2113105.68535843
1998,"DEN","Nuggets",26518960,1395734.73684211,4030000,242000,1246948.02145687
1998,"DET","Pistons",24876625,1658441.66666667,5850000,272250,1581907.27018918
1998,"GSW","Warriors",32856469,2346890.64285714,7770000,272250,1908641.8487032
1998,"LAC","Clippers",24493625,1632908.33333333,3580000,20000,1169775.11895551
1998,"LAL","Lakers",36304583,2593184.5,12857143,20000,3626341.23903976
1998,"MEM","Grizzlies",23123350,1541556.66666667,5700000,272250,1357878.25125223
1998,"MIL","Bucks",25919828,1851416.28571429,5510000,242000,1579949.29418322
1998,"MIN","Timberwolves",27787780,1736736.25,5500000,242000,1434765.81546432
1998,"NYK","Knicks",53974881,4151913.92307692,20500000,272250,5491760.13362569
1998,"OKC","Thunder",37592175,2211304.41176471,10514688,242000,2588939.08459131
1998,"ORL","Magic",43954299,2197714.95,14285714,5000,3434684.74254802
1998,"PHI","Sixers",28620520,2044322.85714286,8002800,242000,2150852.47793459
1998,"PHO","Suns",36937876,2308617.25,8e+06,50000,2541505.52337411
1998,"POR","Trailblazers",27786719,1852447.93333333,5010000,242000,1764481.90610318
1998,"SAC","Kings",29546350,1641463.88888889,4225200,1e+05,1500196.25272687
1998,"SAS","Spurs",38846163,2774725.92857143,12397440,272250,3144375.284983
1998,"TOR","Raptors",24748905,1546806.5625,3750000,242000,1096881.77444499
1998,"UTA","Jazz",28505442,2192726.30769231,5118578,242000,1717007.9958905
1998,"WAS","Wizards",40718075,2714538.33333333,11250000,242250,3335588.23210907
1999,"ATL","Hawks",40954940,2925352.85714286,11218000,287500,2992206.09199307
1999,"BKN","Nets",43735000,2429722.22222222,1.1e+07,350000,2575567.11757317
1999,"BOS","Celtics",32258856,1792158.66666667,5845000,287500,1382005.48887103
1999,"CHA","Hornets",29914500,2492875,7e+06,287500,2360415.71959648
1999,"CHI","Bulls",28640500,1591138.88888889,5280000,287500,1605879.47709032
1999,"CLE","Cavaliers",27778000,2136769.23076923,9740000,250000,2671771.12461148
1999,"DAL","Mavericks",35565568,2222848,6750000,287500,2051707.0130614
1999,"DEN","Nuggets",29392200,2099442.85714286,9e+06,287500,2325875.53397864
1999,"DET","Pistons",34699620,2168726.25,6675000,287500,2060454.7422705
1999,"GSW","Warriors",30985000,2383461.53846154,4370000,1131000,1152622.92297356
1999,"HOU","Rockets",30297100,3366344.44444444,12943000,287500,4934443.61278734
1999,"LAC","Clippers",28417580,1894505.33333333,4060000,287500,1178793.72986521
1999,"LAL","Lakers",41872000,2617000,1.5e+07,287500,3613477.92299884
1999,"MEM","Grizzlies",30793800,1710766.66666667,7222000,287500,1731385.8892942
1999,"MIA","Heat",42844000,3060285.71428571,13130000,537500,3370999.11413108
1999,"MIL","Bucks",33703240,2246882.66666667,6380000,350000,1633070.74317708
1999,"MIN","Timberwolves",32331480,2487036.92307692,1.4e+07,287500,3803103.98031087
1999,"NYK","Knicks",59945400,3996360,18500000,350000,5062352.44311236
1999,"OKC","Thunder",30413082,1900817.625,8715000,287500,2244063.41066904
1999,"ORL","Magic",46118000,2712823.52941176,8505000,287500,2554093.3319207
1999,"PHI","Sixers",41509920,2306106.66666667,6800000,287500,2200660.28580194
1999,"PHO","Suns",36101500,2406766.66666667,7800000,287500,2630682.65085772
1999,"SAC","Kings",31692000,2112800,1e+07,287500,3041304.6648249
1999,"UTA","Jazz",30298560,2524880,6142000,588000,1759146.33379634
1999,"WAS","Wizards",34018500,2616807.69230769,13125000,287500,3416847.53304893
2000,"ATL","Hawks",44169202,2598188.35294118,12820249,35176,3086406.62514314
2000,"BKN","Nets",53245461,3327841.3125,12375000,301875,3562703.67313621
2000,"BOS","Celtics",46152875,2429098.68421053,9e+06,26636,2296159.42614503
2000,"CLE","Cavaliers",46547966,2738115.64705882,10780000,27059,3081842.31482903
2000,"DAL","Mavericks",40014500,1818840.90909091,7560000,2706,2342927.78498316
2000,"DEN","Nuggets",43205814,2880387.6,9900000,301875,2964407.87741642
2000,"DET","Pistons",42141801,2217989.52631579,6939000,5882,2230560.17887387
2000,"GSW","Warriors",36133518,1571022.52173913,5250000,6000,1805974.90171214
2000,"HOU","Rockets",52269367,2489017.47619048,14302001,30000,3326549.00850645
2000,"LAC","Clippers",22489343,1405583.9375,3456240,114529,960962.780184225
2000,"LAL","Lakers",55018533,3056585.16666667,17142858,5000,4301143.50009273
2000,"MEM","Grizzlies",37432688,2339543,9e+06,7471,2751258.21874458
2000,"MIL","Bucks",44680197,2792512.3125,9e+06,301875,2695477.97392014
2000,"MIN","Timberwolves",42642272,2369015.11111111,16806300,4529,3981510.70352135
2000,"OKC","Thunder",38258910,2550594,11020473,301875,3424103.79458934
2000,"PHI","Sixers",43890593,2310031.21052632,9e+06,4529,2937992.65744543
2000,"SAC","Kings",40113125,2507070.3125,1.1e+07,25000,3204721.38542844
